protocol_number,speaker,text
1,ד' תיכון,"הוא אמר, שיתקיים על זה דיון בישיבה השלישית."
1,שר האנרגיה והתשתית ג' שגב,"- נן שא המועד הנקודה היא, ששאנו השלישית, אלא היום. בהקדמה ברצוני לדבר מספר משפטים."
1,"ג' גל - היו""ר","בתקופת פריימריס. אני לא אהיה בישיבה . לגבי זה, ירצה לומר לך חבר-הכנסת דן תיכון, בניגוד לדעתך, שבחצי שנה האחרונה לפני הבחירות אפשר לא לחוקק. יש שלוש שנים וחצי. האם זה מעט?! הוועדה המשותפת לחוק משק החשמל 08/02/96 שר האנרגיה והתשתית ג' בסדר."
1,ד' תיכון,שגב: - 5: זה לא חצי שנה. זה חודש.
1,שר האנרגיה והתשתית ג' שגב,"לגבי מה יקרה אם לא נחוקק, יושב-הראש גדליה גל אמר שיקדיש לכך ישי בה, חושב שזה נושא חשוב מאד."
1,ד' תיכון,"ואני אני רואה, שאתה בשלך. אנו מבקשים לא לדון בזה היום, כי אם אתה מצהיר הצהרות, נתחיל להשיב."
1,שר האנרגיה והתשתית ג' שגב,"אני לא מצהיר הצהרות. זכותי בהקדמה, לומר מה שאני רוצה. כשאתה תדבר, תגיד מה שאתה רוצה."
1,"ג' גל - היו""ר","אם אחר, זה רוצים ממני. , יבואו עוד חבר-כנסת שירצו להגיב, אני חייב לתת להם. תראה מה אתם שר האנרגיה והתשתית ג שגב: אני לא רוצה כלום,"
1,"ג' גל - היו""ר","אתם אומרים לי: ""שלישי לחודש, וחמישי דופק בשער"". ואתם תעשו כאן דיונים."
1,שר האנרגיה והתשתית ג' שגב,"אבל, בהקדמה, ' אני לא עושה דיונים. חבר-הכנסת דן תיכון, לא אה י ה בכל ישיבה. אני, מבקש לומר מספר דברים, שאני חושב שגם חשוב שאנשי המקצוע ישמעו אותם ולא רק אנשי הוועדה, אני חושב, שחשוב לדעת, שעיכוב בחקיקה יגרום לבעיה בגיוס הכספים. חברת חשמל תתיחס, בישיבה המיוחדת, ספציפית לנקודה הזו. אני מעלה זאת רק כנ ר שא כללי לחלוטין, ואמרת שתתיחס אליו. נר שא נוסף הוא נושא תכנון ארוך הטווח, עד שאין חקיקה, אם תהיה דחיה של תשעה 900 חודשים בחקיקה, לא ניתן לחתום על IPP's. מדובר על כ-900 מגהוואט. לגבי אותם מגהוואט, חברת חמשל תצטרך לתת תשובה בתכנון ארוך הטווח שלה. כל הנושא של אותה הפרטה של 10% יידחה ואינני יודע בכמה שנים לאחר מכן: לא בשנה ולא בשנתי ים, אלא בחמש או בעשר שנים. זו נקודה, שחשוב שיידעו, בעיקר אם לא אהיה באותה ישיבה בה תדונו בנושא הזה. אולי . • הולך . לעצם החוק עצמו אמרתי זאת בתקשורת ואמרתי זאת מעל בימת הכנסת, ואינני כאן להכנס לכל סעיף. אתם תדונו בכל סעיף. אני חושב, שמדובר כאן בחוק טוב מאד שמביא שינוי אמיתי למשק החשמל שלנו מבחינתי אני מת יחס לנקודות ל-10% יצור פרטי בתוך מדינת י שראל ו-10%. אלה הדברים הנילוים, שלא אפשרות . המרכזיות: הוועדה המשותפת לחוק משק החשמל 08/02/96 הוא - - 6 - הנושא מסגרת מופיעים ב-blue print ולא מופיעים בחוק, והחוק הוא חוק כללי . אני מדבר על שחברת חשמל עוברת למאזנים שמופיעים כמרכזי רווח אפשרות לבדיקת התייעלות בצורה אמיתית. אני מדבר על כך, שה-.P.U.C נמצא בתוך החוק הזה, ותיכף אומר באיזו נמצא ואם אני מאושר או לא מאושר ממה שבסופו של דבר היה בוועדת שרים לחקיקה. אני מתיחס לכל הנקודות האלה כאל שינוי משמעותי כאשר הש י נ ר < המשמעותי בי ותר ולכך הת י חס גם מר צי מנסקי בראיון ששמעתי אותו וראיתי אותו כתוב בעיתון, הוא הנושא של מה שיקרה גם לאחר אותן עשר שנים, כאשר עשר הש נ י ם האלה, מבחינתי, הן תקופה מקדימה לכניסה אולי לרפורמה יותר נרחבת כן או לא, אנו לא יודעים. ברצוני , - להת יחס כאן למספר משקי חשמל בעולם ולהציג בצורה כללית מאד מה קורה . במקומות אחרים בעולם. אני מקווה ויודע, שמר אילתה יכנס יותר לעומק בנושאים האלה. אם אנו מתיחסים למשק החשמל הצרפתי הרי שזהו משק שמייצר היום 90 אלף מגהוואט, ואני מזכיר שמדינת ישראל מייצרת 7,000 מגהוואט. זהו משק עם 120 אלף עובדים, שהוא מונופול מוחלט וחברה ממשלתית ב-100%. 12 , ומר ורדי אם אנו מתיחסים לקטע האנגלי הרי שהוא הלך ב-1986 לרפורמה אמיתית והקים ובנה חברות חלוקה. מחירי החשמל עלו, מיד לאחר הרפורמה, אם אינני טועה, יתקן אותי, בכ-30% בערך. הממשלה, שראתה את כמות ההשבתה של התחנות הפחמיות ך רצתה לגרום לכך שכן תהיינה תחנות פחמיות, חייבה, למרות הרפורמה המוחלטת כביכול, להקים בדלקים מסויימים. לאחר מכן, בארבע השנים האחרונות, התבשרנו גם שחברות החלוקה הורשו לקנות חברות גנרציה, וזה אכן מה שהן עןשות, כלומר על המוחלט, התחילה להיות שוב מונופוליזציה בצורה של חברת חלוקה שקונה חברות גנרציה. תחנות ' הפיזור בארצות-הברית, כשאני > ן רע שמנפנפים במשק החשמל האמריקאי, ישנן 900 חברות. ביניהם, .10% הבה ונבחן כל UTILITY כחברה בודדת, כי כל UTILITY כזה, גם הקטן ב י ותר לפי מידע שבידיי, הוא כ-6,000 מגהוואט ואולי יותר. כלומר אפשר לבחון כל UTILITY כזה כאילו הוא חברת החשמל שלנו. שם יש את אותו מונופול. שם יש את האפשרות לקנות חשמל מיצרנים פרטיים בממוצע כ-8%, ואינני יודע אם יש מקום שם זה עולה מעל אבל, י שנס כאלה שמכ יר ים את 900 החברות אולי טוב ממני. בנוסף לכך, נושא ה- שנכנס, נכנס שם, לאחר שנים ארוכות של יצור. חשמל פרטי ולא ב י ום מר ורדי. לפחות חצ י ג אחר, זה את העובדות. אני י ךרע שאתה מומחה גדול ממני בענין ואינני מתיימר להיות מומחה בנושא המשק האמריקאי. WHEELING ' הראשון ' 10% היבוא רעם כל אני אומר, שוב, שהחוק, שהבאנו, עם 10% הפרטים מפה ועם הדבר רם הנוספים, שודאי כולם התעמקו בהם וקראו, הוא חוק טוב, שמכניס אותנו לעידן חדש בלי זעזועים קשים. יש לזכור, שגם כשמדברים על ם ב י בה עיסקית, גם לזעזועים קש ים בסב י בה עיסקית יש תרומה משמעותית מאד, כאשר הולכים לעשות שינוי. אני מבקש מכל מי שדן בחוק, כולל האנשים המקצועיים האקדמיים וכו', להתיחס גם לנושא הזה; כל מי שלמד גם את הקורס של מינהל עסקים יודע, שכאשר ע ר ש י ם ש י נ ר < בס ב י בה עסקית, מת יחסים גם לערעורים שיכולים לקרות בשטח כחלק מהשיקולים שלוקחים. זה, בפירוש, נלקח בחשבון. לפני שאני מסיים דבריי אני חייב להתנצל כאן בפני מר ורדי - ב-blue print, לא ראיתי ז את לפני שה-blue print יצא, בדברי ההסבר, בסעיפים 4, 5 ו-6, ראני מת יחסים- "" ורדי: סעיף 4."
1,שר האנרגיה והתשתית ג' שגב,"התקבלו לא. בסעיפים 5 ו-6 כתוב: ""דו""ח ועדת ורדי וכו'"" הנושא יתוקן, כיון כל המלצות ועדת ורדי, ולא על פיהן עובד כל החוק הזה. תהיה כאן אי הגינות כלפי הוועדה וכלפי היושב בראשה, אם הדברים יופיעו כך בהסבר. לכן הם לא י ו פ י ער שלא ' הוועדה המשותפת לחוק משק החשמל 08/02/96 - 7 כך ב-blue print, והם יהיו חלק מהתיקון שאני אבקש להביא. לא ראיתי זאת לפני כן, וחבל שלא הבאת זאת לידיעתי קודם."
1,ד' תיכון,אני לא רואה דבר בסעיף 4.
1,שר האנרגיה והתשתית ג' שגב,תסתכל על כל הסעיף מתחילת ההסבר
1,ש' ברובנדר,"[מקרין לפרוטוקול.] שקף מסי ,1 שכותרתו: כרונולוגיה של החשמל חוק - ראה נספח . שר או בשקף זה מופיעה כרונולוגיה קצרה של ארבע שנות פעילות, שהב י או לחקיקת חוק החשמל ב-19 לינואר 1992, לפני ארבע שנ ים מונה יוסי ורדי לעמוד בראש ועדה. המינוי היה ע""י שני שרים בממשלת הליכוד: יובל נאמן, שר האנרגיה, ויצחק מודעי, האוצר. השאלה המרכזית, שהציבו לפני ועדת ורדי היא האם יש להאריך את הזכיון לא לחברת החשמל ואם לא מאריכים את הזכיון מה אפשר לעשות. דו""ח ורדי הונח כאן, ואם יהיה צורך נחזור על המסקנות. המסקנה העיקרית של דו""ח ורדי היתה לא להאריך את זכיון חברת חשמל, להמירו במשטר של רשיונות ולהקים, בנושא הפיקוח הציבורי את שאלה שנ י האלמנטים המרכזיים בחוק. דו""ח ורדי הוגש לשרים ב-31/12/92, וב-1993, כשאמנון רובינשטיין נהיה שר האנרגיה, הוא מי נה דני צ'מנסקי לעמוד בראש צוות לבדיקת ישום מסקנות דו""ח ורדי. Commision , Panel Utility ה- את >' ורדי: הוא הודיע, שהוא מקבל את הדו""ח."
1,ש' ברובנדר,הוא הודיע. שר אחד אימץ ושר אחד לא אימץ.
1,ד' תיכון,"מדוע היה צורך להקים ועדה שתיישם את דו""ח ורדי?"
1,ש' ברובנדר,"זו לא היתה ועדה. זה היה צוות מקצועי. שר האנרגיה והתשתית ג שגב: צריך זאת, כדי להוציא מן הכוח אל הפועל."
1,ד' תיכון,האם מר ורדי מטומטם?
1,"ג' גל - היו""ר","תיכף אתה תחמם ' אותך, ותהיה כאן חגיגה. יוסי ורדי חידודין כלשהו רק אחת לשעה. אתה לא מתערב ולא מעיר, ואני , אתן לך את כל אני מרשה לך לומר דבר הזמן הוועדה המשותפת לחוק משק החשמל 08/02/96 שתרצה במועד."
1,ש' ברובנדר,ר ושב ים כאן סביב - 8 - השולחן הזה שלושה חברים לשעבר של ועדת ורדי ויושבים כאן חברים שהיו בצוות צ'מנסקי.
1,ד' תיכון,תאמר מי אלה.
1,"ג' גל - היו""ר",", כאן שלמה ברובנדר אני מבקש שלא תעשה כאן רב-שיח, והשאר לי את השאלה האס דעת ו, גם אם זה יהיה הפוך מדעתך, יקבל אפשרות ישנם להביעה, חברים. כל מי שי רצה להביע"
1,ש' ברובנדר,"כרגע, אינני מביע דעה, אלא מצ י ג כרונולוגיה, דו""ח צי מנסקי הרגש בסיס להחלטות על ישום המלצות צ'מנסקי לקראת הבאתן לממשלה לשם קבלת החלטת והיווה ממשלה לצורך דבר החקיקה. מופיעות כאן שתי החלטות ממשלה, שהחשובה יותר היא ההחלטה מ-28 במאי החלטה מספר 5484 שהיא ההחלטה הספציפית שהנחתה את חקיקת חוק החשמל. - 1994-1 1995"
1,"ג' גל - היו""ר",האם ועדת ברודט היתה גם בענין החשמל?
1,ש' ברובנדר,"שהפנה לא. ועדת ברודט, מה שנקרא: צוות המונופולים, הוכנסה בדקה האחרונה דרך שאילתא השר רובינשטיין לוועדת שרים לחקיקה, זו המעורבות, לפחות היחידה שאני י ך רע עליה, בהליך החקיקה ממש בדקה האחרונה."
1,א' פורז,האם אתה יכול להסביר מה ההבדל בין שתי ההחלטות?
1,ש' ברובנדר,"אני יכול לתת לך את ההחלטות, אך כרגע חבל לבזבז על זה את הזמן. יש הבדל. •"
1,א' פורז,""" האם ההבדל הוא רק סמנטי או שינוי במדיניות? ורדי: יש הבדל."
1,ש' ברובנדר,"יש הבדל אבל, להבדל המהותי היחידי אגיע, כשאגיע להציג את מבנה החוק. • הוועדה המשותפת לחוק משק החשמל 08/02/96 - 9. לחקיקה, ממאי 1995 נכנסנו להליך חקיקה מואץ מאד בשל ושת המשרדים שנגער מג י ש עכש י ר דו""ח עבודה, הרבה מאד אנשים השקיעו מאות שעות עבודה במוצר שמוגש כאן לפניכם. ב-29 לינואר הוגש החוק לכנסת. ואינני [מקרין שקף מס' 2, שכותרתו: חוק משק החשמל 1996. מבנה סכמת י . לפרוטוקול.] - ראה נספח אומר משהו על המבנה של חוק החשמל ומה יש בו ומה אין בו. אני חושב, שחש ו ב לדעת מהו החוק. אני חושב, שחשוב, כשנכנסים לדיון, לדעת מה מחפש יס בו ומה לא מחפשים בו. בעיקרו של דבר, חוק זה הוא חוק הסמכה. זהו חוק, שמסמיך את שר האנרגיה להפעיל את משק החשמל באמצעות משטר רשיונות. - זו המלצה מספר אחת. החוק הזה גם מקומם מוסד שנקרא: ...P, שזה Public Utility Commision פיקוח ציבורית שלו שני תפקידים עיקריים: 1. להיות מופקד על נושא תעריפי החשמל לכל סוגיהם. 2. להיות אחראי על איכות השירות לצרכן. אס - רשות ה- יהיה צורך, נרחיב מה הם למעשה הדברים שעומדים מאחורי המונחים האלה. .U.C.P מוקם כתאגיד סטטוטורי ואמור להיות עצמאי לחלוטין עד כמה שאפשר. האמת היא, שהצעתנו היתה לעשותו הרבה יותר עצמאי וה-C.P.U, שמוגש כאן, הוא בהסכמה משותפת בין משרד המשפטים, משרד האוצר ומשרד האנרגיה. , P.U.C. שגובש"
1,ד' תיכון,מי מממן אותו?
1,ש' ברובנדר,"מאגרות • . בורסיה, שמוגשת כאן, האוצר יממן אותו. בורסיה, שאנו הגשנו, רצינו שהוא מומן היצרנים כגוף אוטונומי לחלוטין. אבל, הצעת החוק היא של הממשלה, ולכן אין טעם לומר מה אמרנו ומה לא אמרנו. זה ימומן ע""י האוצר. מינוי מנהל ה-.P.U.C מינוי של הממשלה. אולי מעבר. ' הוא עתה, נעבור לחלקים האחרים של החוק. מרכז החוק עוסק בכל הנושא של מתן רשיונות. יש לנו כאן שני סוגי רשיונות: יהיה לנו רשיון ליצרן פרטי ו יצרן פרט < בחוק הקיים היום יכול לעסוק בשלב הראשון ביצור ובמכירה לחברת חשמל, ובשלב העתידי הוא גם י וכל לעסוק בסחר. חברת חשמל לא מופיעה בחוק הזה, אלא רק בהוראות במלים אחרות, אמרתי שהחוק הזה הוא חוק הסמכה. צריך שיהיה ברור, שזה לא חוק חברת חשמל זה לא חוק של הפרטה וזה לא שום דבר מהדברים האלה, שאם מחפשים אותם לא ימצאו אותם בחוק. חברת חשמל מופיעה כאן תחת הכותרת של ספק שירות חיוני. החוק הזה חל גם על ספק שירות חיוני אחר, שזה למשל החברה המזרח ירושלמית שגם היא ספק שירות חיוני. ספק שירות חיוני יקבל, על פי הפונקציות שלו. מספר רשיונות. יהיה לו רשיון ליצור רשיון להולכה שזו השליטה על מערכת ההולכה הארצית, שזהו המונופול הטבעי, וכן על החלוקה שזה המונופול האזורי ועל סחר. למעשה, סחר הוא הפתיחה של האופציה למסחר בחשמל או פנימי בארץ או בין מדינות. . התכנית יש לשים לב, שתחת הסמכויות של השר זה לאשר תכנית פיתוח, שה י א תהיה המנחה שהיא תמיד תאפשר שתמיד תהיה שליטה ממשלתית עליונה על מה שקורה למשק החשמל. החוק הזה מכניס איתו לחקיקה ראשית 3-2 נושאים מרכזיים, שהיו בפקודת זכיונות החשמל, שבלעדיהם אי אפשר לתפעל את רשת החשמל ביום-יום: 1. נושא הרשאה לביצוע עבודות - אלה סעיפים 5 ו-6 לפקודת זכיונות החשמל. זה אומר • הוועדה המשותפת לחוק משק החשמל 08/02/96 - 10 שמנהל המינהל או שר האנרגיה אחראי על כל תכנית חשמל שמוגשת אם ע""י ספק לציבור או ע""י יצרן פרטי. - 2. נושא כניסה למקרקעין - בלי סמכות כניסה למקרקעין, במדינת ישראל לא ניתן להקים שום פרוייקט: לא להקים עמוד, לא לשים תחנת טרנספורמציה ולא למתוח חוט. הנושא הזה חותך על פני כל הרמות. שזה לא מכיון שאני יודע שעל הנושא הזה תהיה מיד אמירה כלשהי, אני אומר, מראש בנוסף למה שהיום כתוב בסעיף 145(1) לחוק התכנון והבניה. זה לא בא במקום רזה מבטל את כל מה שצריך לעשות מבחינת הפעולות על פי חוק התכנון והבניה. בקטע השל י ש י של השקף יש רובריקה שנקראת: ""תקנות, כללים, תנאים ברשיון והוראות מעבר"". הוראות מעבר הן ההוראות, שחלות על חברת חשמל, שמאפשרות לנו לעבור ממשטר של זכיון למשטר של רשיונות, עם כל ההיערכויות שנן בעות מהדבר הזה. תקנות וכללים הם הסדרה של משק החשמל ברמה יותר נמוכה מרמה של חוק, מכיון שגם היום משק החשמל, ברור, הם החשמל עובד על-פי כללים ותקנות, שבזמנו הוצאו ע""י פקודת זכיונות החשמל והיום י רצאר על פ י הסמכות שתהיה לשר או למנהל להסדיר את כל שאר הפעילויות של משק מה שלא נכתב בחוק יכול להיות ש י י כתב ברש י ו ן על-פי תנאי הרשיון. יהיה שעל הרשיון הזה ישנה סנקציה. הרי החוק קובע ששר יכול להתלות, לבטל ולשלול רשיונות. כלומר המשטר של הרשיונות הוא לא דבר שקיים מעתה ולנצח נצחים. הדבר האחרון. שאני מבין שעליו היתה סערה גדולה, זה הסדרת פעילות חברת לעשר השנים. מאחר והגענו לענין הזה, ברצוני להסביר בנושא הרשיון, איך אנו רואים את תפישת הרישוי על-פי החוק, לחברת החשמל, • . החשמל "" ורדי: האם אתה יכול להסביר גם מה זה סעיף 52(ה)? אני לא מבין אותו"
